trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
195,False,"{'a': 0.8, 'e': 0.20434674777352183}",25,10,11.742110816817924,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.19748950728201042}",20,4,5.66255046070392,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.8, 'e': 0.19062258984415673}",25,0,-6.883615151175895,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
198,False,"{'a': 0.8, 'e': 0.18374633193754078}",20,14,-1.9549514468010352,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.17686107049742464}",20,14,12.23166402532614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8, 'e': 0.16996714290024081}",20,12,14.742171156019243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.8, 'e': 0.16306488694706261}",20,2,12.229868496183585,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.8, 'e': 0.15615464084705052}",25,19,6.2151438507153784,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8, 'e': 0.1492367432008806}",30,13,-32.94887037904926,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
204,False,"{'a': 0.8, 'e': 0.1423115329841538}",20,16,8.758852905136823,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.13537934953078465}",20,0,-12.236629208617376,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
206,False,"{'a': 0.8, 'e': 0.12844053251637585}",20,11,18.654773333566013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.8, 'e': 0.12149542194157227}",30,8,32.34964387239918,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8, 'e': 0.11454435811540296}",30,4,38.34706857384813,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.10758768163860415}",30,12,10.98064865522913,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
210,False,"{'a': 0.8, 'e': 0.10062573338693173}",20,7,20.857737615238186,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8, 'e': 0.09365885449445663}",25,9,26.534286844978837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8, 'e': 0.08668738633685107}",20,11,11.536792828560866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8, 'e': 0.07971167051465945}",25,18,12.500520448704814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8, 'e': 0.0727320488365618}",25,13,23.081180692071964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.8, 'e': 0.06574886330262336}",20,9,18.374454795336902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8, 'e': 0.058762456087538564}",20,0,18.098476108520536,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
217,False,"{'a': 0.8, 'e': 0.05177316952386262}",30,19,22.494828717190057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.8, 'e': 0.044781346085239156}",30,14,28.718822600656985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,14.57776500898363,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,25.72536153521401,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,5,35.0183298975133,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,22.05252690823824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,24,10.465948134082492,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,15.993138864743699,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,15,9.029347297744682,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,29.329117056221072,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,19,13.283273604481886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,17.01572566931495,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
